eicwgihgtp0,"[""अतएव""]",49
eicwgihgtp0,"[""अधिग्राहण""]",7
eicwgihgtp0,"[""अनुसूची""]",28
eicwgihgtp0,"[""इकाई""]",36
eicwgihgtp0,"[""उपरोपिका"",""मूलवृंत"",""व्यास""]",38
eicwgihgtp0,"[""क्रमबद्ध""]",39
eicwgihgtp0,"[""छावनी""]",42
eicwgihgtp0,"[""ठिठुरे""]",22
eicwgihgtp0,"[""डौल""]",43
eicwgihgtp0,"[""तथ्यतर्कपरकता"",""स्थानापन्न"",""वाग्जाल""]",95
eicwgihgtp0,"[""तबके"",""वांछा"",""सौंदर्यविषयक"",""मंतव्यों"",""सौंदर्यशास्त्र""]",92
eicwgihgtp0,"[""देहातीत"",""अशरीरी"",""मानवी""]",63
eicwgihgtp0,"[""द्रुतगति""]",40
eicwgihgtp0,"[""निःशुल्क""]",4
eicwgihgtp0,"[""निर्वासन""]",72
eicwgihgtp0,"[""निहित""]",87
eicwgihgtp0,"[""प्रौद्योगिकी"",""इज़ाफा""]",35
eicwgihgtp0,"[""मानवतावादी""]",85
eicwgihgtp0,"[""रीझने""]",96
eicwgihgtp0,"[""व्‍यंजित""]",99
eicwgihgtp0,"[""सम्पुट""]",5
eicwgihgtp0,[],0
eicwgihgtp0,[],1
eicwgihgtp0,[],10
eicwgihgtp0,[],11
eicwgihgtp0,[],12
eicwgihgtp0,[],13
eicwgihgtp0,[],14
eicwgihgtp0,[],15
eicwgihgtp0,[],16
eicwgihgtp0,[],17
eicwgihgtp0,[],18
eicwgihgtp0,[],19
eicwgihgtp0,[],2
eicwgihgtp0,[],20
eicwgihgtp0,[],21
eicwgihgtp0,[],23
eicwgihgtp0,[],24
eicwgihgtp0,[],25
eicwgihgtp0,[],26
eicwgihgtp0,[],27
eicwgihgtp0,[],29
eicwgihgtp0,[],3
eicwgihgtp0,[],30
eicwgihgtp0,[],31
eicwgihgtp0,[],32
eicwgihgtp0,[],33
eicwgihgtp0,[],34
eicwgihgtp0,[],37
eicwgihgtp0,[],41
eicwgihgtp0,[],44
eicwgihgtp0,[],45
eicwgihgtp0,[],46
eicwgihgtp0,[],47
